BOOK TITLE,F21 CRAIN ALPHARR,F21 CRAIN BODY,F21 CRAIN SWALLOW,S20 CRAIN ALPHARR,S20 CRAIN BODY,S20 CRAIN SWALLOW,S18 CRAIN ALPHARR,S18 CRAIN BODY,S18 CRAIN SWALLOW,F21 MORPH AS ARE,F21 MORPH MIGHT BE,F21 MORPH SHOULD BE,S20 MORPH AS ARE,S20 MORPH MIGHT BE,S20 MORPH SHOULD BE,S18 MORPH AS ARE,S18 MORPH MIGHT BE,S18 MORPH SHOULD BE,Disability,Diverse family structure,LGBTQIA+,Mental illness,None,Racial / Ethnic identity,Religious identity,Socioeconomic status
ABC's of great Negroes,96,0,4,0,0,0,0,0,0,92.3,0,7.7,0,0,0,0,0,0,0,0,0,0,0,58.5,24.4,17.1
ABG,91.3,8.7,0,0,0,0,0,0,0,91.7,8.3,0,0,0,0,0,0,0,0,0,0,0,12.9,45.2,9.7,32.3
"Adventures of ABC, The",96,4,0,91.2,5.3,3.5,77.9,14.7,7.4,17.9,82.1,0,5.3,89.5,5.3,16.7,81.8,1.5,0,15.8,0,0,13.2,47.4,7.9,15.8
"Adventurous Billy & Betty, The",96.2,0,3.8,91.2,1.5,7.4,85.9,3.1,10.9,0,61.3,38.7,16.2,41.9,41.9,11.1,50,38.9,0,12.1,0,0,15.2,33.3,0,39.4
African A.B.C.,100,0,0,93.4,0,6.6,0,0,0,88.5,0,11.5,90,1.7,8.3,0,0,0,0,2.6,0,0,2.6,56.4,0,38.5
Afro-Bets,46.3,51.2,2.4,50,50,0,42.9,56,1.1,96,4,0,91.5,6.8,1.7,92.6,7.4,0,0,3.3,0,0,3.3,80,0,13.3
Aiding and abetting : an alphabet for AI,75,17.9,7.1,0,0,0,0,0,0,25.9,74.1,0,0,0,0,0,0,0,17.6,2.9,35.3,8.8,20.6,5.9,0,8.8
Alphabet of Fairy Tales,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,5.7,8.6,0,0,51.4,2.9,5.7,25.7
Alphabet Rhymes,96.2,0,3.8,93.2,0,6.8,0,0,0,76.7,6.7,16.7,63.2,1.5,35.3,0,0,0,0,0,0,0,64,0,12,24
"American ABC, An",100,0,0,98.3,0,1.7,0,0,0,56.3,3.1,40.6,49.3,2.9,47.8,0,0,0,0,0,0,0,1.9,42.6,31.5,24.1
"An A. B. C. of every-day people, good, b",100,0,0,88.7,11.3,0,79.4,19,1.6,79.3,3.4,17.2,21.3,14.8,63.9,65.4,13.5,21.2,21.1,2.6,0,7.9,10.5,0,0,57.9
"An Alphabet Allegorical, Alliterative & ",84.6,3.8,11.5,89.3,10.7,0,77.9,14.7,7.4,42.9,53.6,3.6,44.1,39,16.9,30.9,63.6,5.5,0,8.8,2.9,5.9,5.9,5.9,14.7,55.9
An Alphabet for Boys & Girls,96.2,0,3.8,91.5,6.8,1.7,80,20,0,75,15.6,9.4,62.9,12.9,24.2,69.2,11.5,19.2,2.9,0,2.9,2.9,29.4,17.6,11.8,32.4
An alphabet of celebrities,100,0,0,96.4,3.6,0,91.8,4.9,3.3,48.4,51.6,0,56.7,41.7,1.7,26.3,71.9,1.8,8.3,2.8,0,0,19.4,13.9,33.3,22.2
An Alphabet of Fairy Tales,65.2,34.8,0,69.6,27.5,2.9,82.1,17.9,0,0,95.2,4.8,1.8,96.4,1.8,0,100,0,13.2,10.5,2.6,7.9,2.6,21.1,5.3,36.8
Ant and Bee : an alphabetical story for ,100,0,0,98.2,1.8,0,0,0,0,12.5,87.5,0,41.3,57.1,1.6,0,0,0,8.7,8.7,0,0,82.6,0,0,0
Apple Pie,41.9,12.9,45.2,36.6,1.4,62,26.6,7.6,65.8,76.9,15.4,7.7,61.5,12.3,26.2,72.2,11.1,16.7,0,7.7,0,0,46.2,11.5,3.8,30.8
Arthur's Book of Alphabets,100,0,0,96.4,3.6,0,93.4,6.6,0,63.3,0,36.7,67.7,4.8,27.4,45.5,5.5,49.1,0,17.5,0,0,12.5,27.5,5,37.5
Ashanti to Zulu : African traditions,100,0,0,0,0,0,0,0,0,96,4,0,0,0,0,0,0,0,0,12.7,0,0,0,39.7,31.7,15.9
Ashley Bryan's ABC of African-American p,96.3,0,3.7,89.7,8.6,1.7,0,0,0,61.1,11.1,27.8,44.6,17.6,37.8,0,0,0,1.9,15.4,0,0,1.9,48.1,25,7.7
